root=bm001 (Кровати и матрасы)
tree_size=16
suspect_count=486

id=12033 | sku=30508021 | primary=18776 (Постельное белье) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),18776(Постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12034 | sku=10504726 | primary=18776 (Постельное белье) | linked_to_bm001=true | linked_outside_tree=18776(Постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12035 | sku=20549475 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12036 | sku=00579784 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12040 | sku=10536322 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12044 | sku=90591215 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12045 | sku=40620545 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12048 | sku=40582402 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12049 | sku=10612127 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12051 | sku=90576804 | primary=18776 (Постельное белье) | linked_to_bm001=true | linked_outside_tree=18776(Постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12052 | sku=80585347 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
